Event,Field,Star No,RA (J2000),Dec (J2000),Tmax (HJD),Tmax (UT),tau,Umin,Amax,Dmag,fbl,Ibl,I0,RA_deg,Dec_deg
2012-BLG-0535,BLG505.07,21614,17:55:42.84,-29:42:42.4,2456058.047,2012-05-10.55,11.273,0.698,1.682,0.565,1.0,18.018,18.018,268.9285,-29.711777777777776
2012-BLG-0536,BLG505.18,56886,17:59:47.64,-29:12:41.4,2456045.157,2012-04-27.66,9.059,0.985,1.353,0.328,1.0,18.818,18.818,269.94849999999997,-29.2115
2012-BLG-0537,BLG509.06,75531,17:56:10.68,-34:30:29.3,2456047.526,2012-04-30.03,31.48,0.516,2.127,0.82,1.0,20.044,20.044,269.04449999999997,-34.50813888888889
2012-BLG-0538,BLG511.05,158500,18:02:04.06,-27:57:58.9,2456046.509,2012-04-29.01,3.997,0.244,4.193,1.556,0.34,18.971,20.142,270.51691666666665,-27.96636111111111
2012-BLG-0539,BLG511.14,85479,18:01:40.61,-27:25:44.7,2456076.399,2012-05-28.90,111.878,0.098,10.288,2.531,0.176,19.291,21.176,270.41920833333324,-27.429083333333335
2012-BLG-0540,BLG511.31,102907,18:01:24.02,-26:49:52.6,2456047.228,2012-04-29.73,28.799,0.173,5.846,1.917,0.287,20.394,21.751,270.35008333333326,-26.83127777777778
2012-BLG-0541,BLG512.06,98217,18:01:41.73,-28:58:34.2,2456046.889,2012-04-29.39,5.016,0.694,1.689,0.569,1.0,19.322,19.322,270.42387499999995,-28.976166666666664
2012-BLG-0542,BLG512.10,95141,18:04:39.88,-28:42:01.6,2456054.308,2012-05-06.81,9.709,0.275,3.741,1.432,0.552,18.866,19.511,271.16616666666664,-28.700444444444443
2012-BLG-0543,BLG512.15,56756,18:01:05.52,-28:54:21.9,2456050.924,2012-05-03.42,16.103,0.321,3.23,1.273,0.192,18.0,19.789,270.27299999999997,-28.90608333333333
2012-BLG-0544,BLG524.12,796,18:14:17.32,-28:52:56.3,2456055.407,2012-05-07.91,21.615,0.082,12.225,2.718,1.0,18.853,18.853,273.57216666666665,-28.882305555555558
2012-BLG-0545,BLG535.20,120004,17:52:16.79,-32:15:51.8,2456051.473,2012-05-03.97,8.266,1.247,1.21,0.207,1.0,18.253,18.253,268.0699583333333,-32.26438888888889
2012-BLG-0546,BLG545.14,43735,18:12:34.81,-25:03:00.6,2456039.624,2012-04-22.12,21.708,0.01,99.656,4.996,0.374,19.885,20.953,273.1450416666666,-25.050166666666666
2012-BLG-0547,BLG573.24,71305,18:06:47.28,-31:25:13.1,2456064.615,2012-05-17.11,39.906,0.239,4.273,1.577,0.575,19.477,20.078,271.69699999999995,-31.420305555555558
2012-BLG-0548,BLG580.03,26410,18:09:13.86,-25:57:52.7,2456117.431,2012-07-08.93,50.346,0.619,1.839,0.661,1.0,16.303,16.303,272.30774999999994,-25.96463888888889
2012-BLG-0549,BLG609.11,112792,17:40:16.59,-34:49:35.7,2456057.103,2012-05-09.60,32.996,0.064,15.754,2.993,1.0,19.387,19.387,265.069125,-34.82658333333334
2012-BLG-0550,BLG611.07,25230,17:33:46.67,-27:33:40.7,2456052.081,2012-05-04.58,42.19,0.317,3.275,1.288,0.347,20.299,21.447,263.44445833333333,-27.561305555555556
2012-BLG-0551,BLG611.30,94033,17:34:50.39,-26:46:27.3,2456058.902,2012-05-11.40,19.318,0.844,1.48,0.426,1.0,18.59,18.59,263.7099583333333,-26.77425
2012-BLG-0552,BLG632.15,18968,17:43:48.23,-23:37:15.2,2456041.923,2012-04-24.42,13.443,0.055,18.214,3.151,1.0,20.14,20.14,265.95095833333323,-23.62088888888889
2012-BLG-0553,BLG637.22,114974,17:49:49.37,-21:22:11.2,2456038.231,2012-04-20.73,64.461,0.03,32.911,3.793,1.0,20.39,20.39,267.45570833333335,-21.369777777777777
2012-BLG-0554,BLG675.05,50380,17:40:21.01,-27:46:10.0,2456048.573,2012-05-01.07,13.007,0.306,3.386,1.324,0.344,16.87,18.028,265.08754166666665,-27.769444444444442
