HJD,flux,cor_flux,flux_err,obsID,JD,fwhm,sky,airmass,nstar,scale,exptime,skydiff,chisq,npix,airmass1,ang1,included
6482.14905,17204.044922,3626.406222,2374.558105,42178,6482.143605,2.96404,2354.86,1.48586,22,0.231023,60,12.8562,92.18314,193,1.5153,-0.8422,True
6483.04345,9456.506836,1596.939012,1119.605713,42181,6483.038033,2.21648,1947.35,1.07332,121,0.807854,60,19.4379,542.4539,193,1.0808,-0.3698,True
6483.06953,10798.282227,2087.74135,872.129822,42182,6483.064118,2.20659,1947.31,1.13048,110,0.825819,60,3.6814,313.0831,193,1.1419,-0.4986,True
6483.10241,14220.824219,4333.52279,1264.605957,42185,6483.096992,2.13214,1782.09,1.24081,71,0.351094,60,-5.3461,167.34999,193,1.2583,-0.6523,True
6483.13528,13443.197266,1576.669041,1151.625488,42188,6483.12987,2.10206,1852.44,1.4093,126,0.812794,60,-5.1611,745.904,193,1.4365,-0.7961,True
6483.16816,16416.378906,,1414.339722,42191,6483.162752,1.99152,2249.29,1.66938,118,0.798048,60,-16.251,2197.8335,193,,,False
6483.21805,20712.472656,-2687.634732,3305.322754,42194,6483.212637,2.31511,2658.02,2.40222,64,0.356683,60,-5.0327,876.84985,193,2.5013,-1.1231,True
6483.78748,5715.893066,-2339.007775,4281.01709,42199,6483.782086,3.37522,3475.38,1.59938,47,0.764619,60,115.9787,1044.5331,193,1.5891,0.8793,True
6483.82038,6851.249023,-555.930986,2208.509033,42202,6483.814988,2.66087,2734.15,1.36511,88,0.81163,60,51.1301,693.76074,193,1.3576,0.7409,True
6483.85326,3508.584229,-3965.058408,2221.720459,42205,6483.847876,2.59455,2484.83,1.21195,97,0.807548,60,41.7202,832.41113,193,1.2066,0.5932,True
6483.88614,5038.361816,-2870.424857,1993.913452,42208,6483.880753,2.78526,2219.13,1.11166,79,0.822462,60,34.8118,793.113,193,1.1087,0.4356,True
6483.91902,3824.915283,-3006.403988,1433.199097,42211,6483.913635,2.29468,1923.21,1.05028,121,0.846843,60,31.2253,1424.7222,193,1.0493,0.2692,True
6483.95192,7308.189941,1911.759601,907.061768,42214,6483.946534,1.98987,1879.6,1.01977,164,0.848164,60,17.984,620.3631,193,1.0206,0.0963,True
6483.98482,8475.563477,2917.74231,923.862427,42217,6483.979436,1.98459,1849.68,1.01638,161,0.853211,60,3.2138,472.51138,193,1.0193,-0.0789,True
