Name,MOA phase,Field,Chip,RA,Dec,Remarks,RA_deg,Dec_deg
MOA-2009-BLG-424,MOA-2,gb14,10,+18:08:16.3301,-26:50:54.3804,,272.0680420833333,-26.848439
MOA-2009-BLG-425,MOA-2,gb3,7,+17:55:23.1283,-33:06:22.2120,,268.8463679166667,-33.10617
MOA-2009-BLG-426,MOA-2,gb5,8,+17:54:04.8624,-29:08:14.1252,,268.52025999999995,-29.137256999999998
MOA-2009-BLG-427,MOA-2,gb9,3,+17:57:44.6897,-29:04:43.4964,,269.43620708333333,-29.078749
MOA-2009-BLG-428,MOA-2,gb9,6,+18:00:14.2603,-30:03:38.5308,,270.05941791666663,-30.060703
MOA-2009-BLG-429,MOA-2,gb10,5,+17:58:45.7387,-28:20:23.3052,,269.6905779166666,-28.339807
MOA-2009-BLG-430,MOA-2,gb17,7,+18:14:41.8639,-27:42:18.8100,,273.6744329166666,-27.705225
MOA-2009-BLG-431,MOA-2,gb16,4,+18:11:34.0970,-29:35:29.3820,,272.8920708333333,-29.591495
MOA-2009-BLG-432,MOA-2,gb5,8,+17:56:35.6275,-29:20:47.7744,,269.1484479166666,-29.346604
MOA-2009-BLG-433,MOA-2,gb7,1,+17:57:38.5553,-31:53:55.4820,,269.4106470833333,-31.898744999999998
MOA-2009-BLG-434,MOA-2,gb11,2,+18:04:19.5149,-32:13:32.0304,,271.0813120833333,-32.225564
MOA-2009-BLG-435,MOA-2,gb8,1,+17:57:52.9908,-30:14:12.4224,CV,269.47079499999995,-30.236784
MOA-2009-BLG-436,MOA-2,gb5,3,+17:53:55.0207,-29:05:52.5192,,268.47925291666667,-29.097922
MOA-2009-BLG-437,MOA-2,gb9,4,+17:58:44.8906,-29:29:09.7656,,269.6870441666666,-29.486046
MOA-2009-BLG-438,MOA-2,gb12,10,+18:06:42.8870,-30:23:43.2564,,271.67869583333334,-30.395349
MOA-2009-BLG-439,MOA-2,gb7,9,+18:02:10.7858,-32:16:50.7360,,270.5449408333333,-32.28076
MOA-2009-BLG-440,MOA-2,gb1,9,+17:47:43.9625,-34:00:42.6816,,266.9331770833333,-34.011856
MOA-2009-BLG-441,MOA-2,gb3,6,+17:55:29.6299,-33:24:55.0152,,268.8734579166666,-33.415282
MOA-2009-BLG-442,MOA-2,gb14,2,+18:04:51.6204,-27:18:03.9564,,271.21508499999993,-27.301099
MOA-2009-BLG-443,MOA-2,gb3,8,+17:55:56.5123,-32:44:36.1428,,268.98546791666666,-32.743373
MOA-2009-BLG-444,MOA-2,gb13,7,+18:08:20.4218,-29:39:04.7916,,272.0850908333333,-29.651331
MOA-2009-BLG-445,MOA-2,gb4,10,+17:56:36.7198,-30:13:47.8776,,269.15299916666663,-30.229965999999997
MOA-2009-BLG-446,MOA-2,gb5,2,+17:53:57.6826,-28:43:37.3188,,268.4903441666666,-28.727033
MOA-2009-BLG-447,MOA-2,gb5,7,+17:56:05.0546,-29:34:45.0408,,269.0210608333333,-29.579178
MOA-2009-BLG-448,MOA-2,gb14,6,+18:06:47.9448,-28:20:54.3732,CV,271.69977,-28.348437
MOA-2009-BLG-449,MOA-2,gb5,7,+17:56:49.2055,-29:41:11.4612,,269.2050229166667,-29.686517
