Event,Field,Star No,RA (J2000),Dec (J2000),Tmax (HJD),Tmax (UT),tau,Umin,Amax,Dmag,fbl,Ibl,I0,RA_deg,Dec_deg
2008-BLG-157,BLG249.2,61975,18:06:06.30,-25:59:12.9,2454752.116,2008-10-12.62,356.984,0.141,7.129,2.133,0.175,17.667,19.56,271.52625,-25.98691666666667
2008-BLG-158,BLG103.2,77630,17:56:31.73,-30:10:39.3,2454566.567,2008-04-10.07,4.015,0.431,2.481,0.986,1.0,19.205,19.205,269.13220833333327,-30.177583333333335
2008-BLG-159,BLG181.2,52599,17:56:34.68,-30:47:45.8,2454598.805,2008-05-12.30,38.588,1.449,1.146,0.148,1.0,17.171,17.171,269.1445,-30.796055555555558
2008-BLG-160,BLG215.4,158839,18:01:23.29,-28:03:01.5,2454571.664,2008-04-15.16,4.060,0.798,1.535,0.465,1.0,15.655,15.655,270.3470416666666,-28.050416666666667
2008-BLG-161,BLG235.2,67333,18:08:47.09,-27:12:01.7,2454661.882,2008-07-14.38,137.506,0.369,2.849,1.137,0.283,17.31,18.68,272.1962083333333,-27.20047222222222
2008-BLG-162,BLG139.5,26927,17:47:43.37,-33:26:27.5,2454566.339,2008-04-09.84,2.376,1.179,1.239,0.232,1.0,16.895,16.895,266.9307083333333,-33.44097222222222
2008-BLG-163,BLG179.4,5424,17:50:10.70,-30:29:13.5,2454573.089,2008-04-16.59,4.904,0.376,2.798,1.117,0.709,16.911,17.284,267.54458333333326,-30.487083333333334
2008-BLG-164,BLG103.7,42125,17:54:58.86,-30:12:07.2,2454626.515,2008-06-09.02,83.671,0.895,1.429,0.387,1.0,18.157,18.157,268.74524999999994,-30.201999999999998
2008-BLG-165,BLG172.7,146494,17:55:01.81,-31:15:17.5,2454577.191,2008-04-20.69,39.656,0.077,13.052,2.789,0.145,18.508,20.601,268.75754166666667,-31.25486111111111
2008-BLG-166,BLG189.6,103344,18:00:40.95,-29:57:35.0,2454571.087,2008-04-14.59,11.814,0.036,27.416,3.595,0.682,19.492,19.908,270.170625,-29.959722222222222
2008-BLG-167,BLG190.5,48307,18:03:17.68,-29:51:10.4,2454574.744,2008-04-18.24,17.843,0.116,8.632,2.340,0.735,18.758,19.092,270.8236666666666,-29.85288888888889
2008-BLG-168,BLG224.5,183419,18:01:39.24,-27:24:17.2,2454567.281,2008-04-10.78,6.921,0.550,2.017,0.762,1.0,19.26,19.26,270.41349999999994,-27.404777777777777
2008-BLG-169,BLG104.2,156148,17:59:55.01,-29:29:01.4,2454570.077,2008-04-13.58,7.926,0.546,2.030,0.768,1.0,19.496,19.496,269.9792083333333,-29.483722222222223
2008-BLG-170,BLG149.8,97029,17:54:18.73,-33:13:58.6,2454625.1,2008-06-07.60,313.114,0.313,3.311,1.300,0.145,17.604,19.702,268.57804166666665,-33.23294444444445
2008-BLG-171,BLG214.8,159968,17:56:27.67,-28:27:27.7,2454579.598,2008-04-23.10,20.235,1.891,1.071,0.075,1.0,13.839,13.839,269.1152916666667,-28.457694444444442
2008-BLG-172,BLG216.1,173706,18:03:19.00,-28:27:51.1,2454574.124,2008-04-17.62,7.028,0.598,1.890,0.691,1.0,18.45,18.45,270.82916666666665,-28.464194444444445
2008-BLG-173,BLG232.5,29307,17:59:56.59,-26:55:52.5,2454564.773,2008-04-08.27,21.493,0.166,6.081,1.960,0.398,18.431,19.432,269.9857916666666,-26.931250000000002
2008-BLG-174,BLG100.7,94469,17:50:58.30,-30:04:03.5,2454590.133,2008-05-03.63,22.624,1.502,1.133,0.135,1.0,17.345,17.345,267.74291666666664,-30.06763888888889
2008-BLG-175,BLG190.7,438,18:03:11.87,-30:12:22.6,2454583.156,2008-04-26.66,20.018,1.396,1.160,0.161,1.0,17.363,17.363,270.7994583333333,-30.20627777777778
2008-BLG-176,BLG206.7,51176,17:58:37.96,-28:59:39.1,2454567.171,2008-04-10.67,6.178,0.473,2.287,0.898,1.0,18.598,18.598,269.6581666666666,-28.994194444444446
2008-BLG-177,BLG214.2,149307,17:58:29.08,-28:21:15.5,2454572.401,2008-04-15.90,2.778,1.224,1.219,0.215,1.0,17.785,17.785,269.6211666666666,-28.354305555555555
2008-BLG-178,BLG156.5,32646,17:54:46.13,-32:14:51.5,2454575.74,2008-04-19.24,7.326,0.993,1.347,0.323,1.0,18.201,18.201,268.69220833333327,-32.247638888888886
2008-BLG-179,BLG218.1,34139,18:08:59.13,-28:34:41.1,2454578.197,2008-04-21.70,69.365,0.141,7.134,2.133,0.059,18.031,21.101,272.246375,-28.578083333333332
2008-BLG-180,BLG103.3,93520,17:56:39.02,-30:01:41.1,2454575.209,2008-04-18.71,8.487,0.241,4.235,1.567,0.429,18.315,19.235,269.16258333333326,-30.02808333333333
2008-BLG-181,BLG183.5,150690,17:59:36.90,-30:23:16.1,2454571.066,2008-04-14.57,6.601,0.049,20.280,3.268,0.228,18.362,19.966,269.90374999999995,-30.387805555555556
2008-BLG-182,BLG104.3,71779,17:59:55.09,-29:24:07.3,2454575.22,2008-04-18.72,41.873,0.074,13.563,2.831,0.037,18.375,21.941,269.97954166666665,-29.402027777777775
2008-BLG-183,BLG163.8,40444,17:51:47.23,-32:04:37.6,2454596.857,2008-05-10.36,14.114,0.208,4.897,1.725,0.915,16.292,16.389,267.9467916666667,-32.077111111111115
2008-BLG-184,BLG206.1,141091,17:59:56.95,-29:03:36.5,2454575.841,2008-04-19.34,8.922,0.890,1.433,0.391,1.0,18.847,18.847,269.9872916666667,-29.06013888888889
2008-BLG-185,BLG214.7,100990,17:57:27.08,-28:22:19.0,2454572.968,2008-04-16.47,15.389,0.793,1.541,0.469,1.0,18.693,18.693,269.3628333333333,-28.371944444444445
2008-BLG-186,BLG215.6,45204,17:59:57.64,-28:15:33.1,2454573.706,2008-04-17.21,3.512,0.570,1.961,0.731,1.0,19.107,19.107,269.99016666666665,-28.259194444444443
