Name,MOA phase,Field,Chip,RA,Dec,Remarks,RA_deg,Dec_deg
MOA-2007-BLG-272,MOA-2,gb10,5,17:59:13.211,-28:20:25.44,,269.80504583333334,-28.3404
MOA-2007-BLG-273,MOA-2,gb15,2,18:04:42.725,-25:15:12.26,,271.17802083333333,-25.253405555555556
MOA-2007-BLG-274,MOA-2,gb17,1,18:11:13.157,-26:44:15.64,,272.8048208333333,-26.73767777777778
MOA-2007-BLG-275,MOA-2,gb5,10,17:54:14.193,-28:34:37.03,,268.55913749999996,-28.576952777777777
MOA-2007-BLG-276,MOA-2,gb5,7,17:54:40.832,-29:42:02.02,,268.6701333333333,-29.70056111111111
MOA-2007-BLG-277,MOA-2,gb9,8,18:00:27.871,-29:09:43.42,,270.1161291666666,-29.16206111111111
MOA-2007-BLG-278,MOA-2,gb10,3,17:59:01.751,-27:32:33.28,,269.7572958333333,-27.54257777777778
MOA-2007-BLG-279,MOA-2,gb8,5,17:58:42.570,-31:42:36.92,,269.677375,-31.710255555555555
MOA-2007-BLG-280,MOA-2,gb9,2,17:58:21.167,-28:52:31.04,,269.58819583333326,-28.87528888888889
MOA-2007-BLG-281,MOA-2,gb5,1,17:53:51.973,-28:25:21.93,,268.46655416666664,-28.422758333333334
MOA-2007-BLG-282,MOA-2,gb17,5,18:10:01.903,-28:10:18.42,,272.50792916666666,-28.171783333333334
MOA-2007-BLG-283,MOA-2,gb1,6,17:48:11.365,-35:02:34.84,,267.04735416666665,-35.043011111111106
MOA-2007-BLG-284,MOA-2,gb5,3,17:53:58.091,-29:09:22.98,,268.4920458333333,-29.15638333333333
MOA-2007-BLG-285,MOA-2,gb16,7,18:13:33.800,-29:29:22.61,,273.39083333333326,-29.48961388888889
MOA-2007-BLG-286,MOA-2,gb5,3,17:52:35.008,-29:04:28.99,,268.1458666666666,-29.074719444444444
MOA-2007-BLG-287,MOA-2,gb13,4,18:03:19.775,-29:25:42.97,,270.8323958333333,-29.42860277777778
MOA-2007-BLG-288,MOA-2,gb9,6,18:01:00.458,-29:57:36.65,,270.2519083333333,-29.960180555555556
MOA-2007-BLG-289,MOA-2,gb1,2,17:46:14.621,-33:48:12.78,,266.5609208333333,-33.803549999999994
MOA-2007-BLG-290,MOA-2,gb2,9,17:54:45.336,-33:59:29.81,,268.6889,-33.99161388888889
